fips,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011
37063000101,192,219,246,68,227,222,192,265,250,256,188,178
37063000102,310,284,473,134,436,504,508,567,566,449,481,370
37063000200,458,357,467,166,469,413,432,398,456,399,346,312
37063000301,286,339,445,152,397,367,402,300,282,262,257,213
37063000302,273,235,346,142,378,303,315,259,285,225,223,190
37063000401,77,60,74,44,97,100,105,121,87,92,65,63
37063000402,103,76,87,43,129,100,69,70,62,47,47,39
37063000500,437,374,514,181,473,376,362,411,371,267,283,253
37063000600,521,345,546,158,441,468,450,453,462,334,357,346
37063000700,85,83,166,63,136,141,142,178,186,176,141,122
37063000900,277,253,285,96,265,216,193,245,205,178,195,159
37063001001,425,420,518,141,413,378,414,393,452,477,397,306
37063001002,577,420,589,195,572,574,652,632,736,650,673,548
37063001100,586,524,624,203,536,528,410,373,502,442,332,254
37063001301,225,211,239,76,163,113,106,107,129,137,130,121
37063001303,131,111,151,73,164,151,139,124,159,153,108,119
37063001304,175,260,385,177,438,452,240,260,439,435,417,437
37063001400,496,458,689,336,786,788,503,458,523,653,488,443
37063001501,3,0,2,0,0,3,0,5,4,6,5,2
37063001502,470,423,550,242,679,639,760,784,756,541,532,527
37063001503,2,0,0,0,0,0,0,0,0,0,0,0
37063001601,44,43,41,16,50,48,42,63,79,66,72,53
37063001603,21,14,67,11,11,13,42,45,54,34,30,34
37063001604,6,7,17,3,14,8,20,22,24,32,13,28
37063001705,79,65,92,27,80,96,138,119,111,138,104,122
37063001706,138,170,264,125,288,306,478,453,539,415,449,427
37063001707,23,16,38,16,68,56,72,69,57,63,48,43
37063001708,37,92,270,81,198,192,215,305,229,185,184,286
37063001709,417,511,732,246,738,782,684,699,680,679,765,663
37063001710,195,170,184,61,159,185,220,314,308,167,200,227
37063001711,312,307,455,207,543,396,504,570,561,492,560,550
37063001801,89,92,112,66,106,147,186,136,141,122,124,100
37063001802,444,377,500,158,381,435,473,467,521,479,348,348
37063001806,45,44,44,9,29,36,43,53,63,89,79,78
37063001807,127,131,153,85,136,73,144,206,277,325,336,350
37063001808,5,10,22,7,20,14,44,43,31,46,47,34
37063001809,70,88,135,75,242,262,268,272,338,264,278,262
37063001900,3,1,7,2,10,7,11,7,3,8,6,3
37063002007,79,58,91,36,94,67,83,61,117,90,68,107
37063002008,3,5,10,1,2,3,3,8,9,3,2,6
37063002009,169,131,211,81,177,169,187,216,187,164,143,144
37063002013,37,47,49,28,48,62,60,62,64,53,46,67
37063002015,302,230,403,206,630,545,494,518,470,504,435,570
37063002016,164,173,358,184,388,531,412,397,495,608,679,625
37063002017,100,91,151,39,93,95,69,99,71,37,61,48
37063002018,29,30,84,31,101,97,96,113,162,111,101,269
37063002019,17,14,13,9,67,62,92,108,177,99,90,73
37063002020,3,5,8,4,8,4,4,13,11,22,14,20
37063002021,91,55,105,43,138,104,201,239,229,206,216,225
37063002022,51,38,83,62,181,216,183,195,184,169,163,175
37063002023,34,27,40,39,122,153,192,247,300,257,339,258
37063002024,54,41,48,24,77,82,102,154,144,113,114,144
37063002025,98,51,109,71,185,165,236,291,328,282,278,250
37063002026,152,127,268,89,321,326,332,289,355,430,478,533
37063002027,73,79,154,106,290,336,325,310,381,269,433,502
37063002028,11,30,36,39,124,250,339,317,311,398,379,291
37063002100,7,8,20,7,11,16,40,32,47,29,31,35
37063002200,250,194,245,68,171,158,136,89,89,96,68,127
37063002300,272,232,362,112,250,332,290,181,149,143,123,114
37063980100,14,9,20,8,24,22,19,5,6,25,12,12
