fips,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011
370630020242,8,11,16,10,26,29,41,55,39,22,28,63
370630020243,24,9,5,9,20,17,31,52,67,40,46,39
370630020251,8,5,6,2,3,7,10,7,13,7,3,9
370630020252,56,34,78,44,132,119,175,205,213,205,168,139
370630020253,34,12,25,25,50,39,51,79,102,70,107,102
370630020261,9,19,89,27,50,31,64,41,54,55,61,85
370630020262,143,108,179,62,271,295,268,248,301,375,417,448
370630020271,13,9,28,10,26,41,15,30,25,29,36,21
370630020272,21,21,68,47,138,128,124,149,229,133,185,196
370630020273,39,49,58,49,126,167,186,131,127,107,212,285
370630020281,2,0,12,0,2,4,17,15,15,22,16,10
370630020282,6,6,4,12,86,197,222,182,126,160,125,88
370630020283,3,24,20,27,36,49,100,120,170,216,238,193
370630021001,4,2,10,2,3,5,6,7,9,3,5,4
370630021002,2,3,5,4,4,10,24,18,34,23,17,25
370630021003,1,3,5,1,4,1,10,7,4,3,9,6
370630022001,250,194,245,68,171,158,136,89,89,96,68,127
370630023001,187,155,230,65,173,181,170,146,112,115,95,82
370630023002,85,77,132,47,77,151,120,35,37,28,28,32
